id,headline,text
uid-1,Market Advances 5.12 More,"NEW YORK (AP) - A prime rate reduction by New York's First National City Bank helped the stock market close out the busiest week in its history with a modest advance Friday.</br></br>The Dow Jones average of 30 industrial stocks gained 5.12 to 929.63, finishing the week withanetrise of 18.50 points.</br></br>Big Board volume, at 25.94 million shares, fell a good deal short of matching Thursday's all-time high of 38.45 million.</br></br>But the day�۪s figure was more than enough to push the total for the week to a record 159.69 million shares. The previous peak had been 145.68 million in the last week of January 1975.</br></br>The Dow has advanced in all but two of the first 11 sessions of the new year. As of Friday�۪s close it had gained 77.22 points since New Year�۪s."
uid-2,"District Boosts Request For Anti-Terrorism Aid; List for Relief, Equipment Tops $900 Million","Mayor Anthony A. Williams petitioned the White House yesterday for $736 million in federal relief -- about five times what officials originally proposed -- to help the District recover from the Sept. 11 terrorist attacks and overhaul the city's emergency preparedness system.</br></br>In addition, the city wants $182 million for grants to protect streets, schools and technology infrastructure, according to a copy of the proposal provided to The Washington Post. In all, the city wants more than $900 million in federal aid.</br></br>The request submitted late yesterday was far more ambitious than the $150 million in federal assistance aired by Williams (D) at a D.C. Council hearing Friday. Council members assailed the sum as far too low for a city forced to confront massive costs for the exigencies of 21st-century terrorist threats and economic losses that followed the calamity.</br></br>The District is asking for $233 million for emergency preparedness and $503 million for economic recovery.</br></br>""Congress is already talking about a major stimulus, already talking about homeland security,"" the mayor said in an interview. ""Obviously, the downside of this is that it's a significant amount of money."""
uid-3,"Election? Here's How You Do It, Mate.","From our downunder perspective here in Australia, the United States is all about choice. Everywhere you look, there are so many options. The huge variety of breakfast cereals in the average American supermarket is enough to make me feel like I've just escaped the Soviet Union circa 1958. It's the same with your presidential politics; the spectrum of candidates and political ideologies you have to choose from is positively dazzling.</br></br>By contrast, Aussie politicians mostly tend to follow the Henry Ford principle, slightly modified: ""Any color you like, as long as it's beige.""</br></br>We recently had an election here, and the whole thing was like that, pretty beige. We had precisely two candidates, and they were barely distinguishable, except that one headed the Liberal Party (the main conservative group) and the other was the candidate of Labor (founded by the union movement). Our entire federal election campaign lasted exactly six weeks -- a long slog, according to pundits and voters alike. After a month, most people were moaning, ""I just want it to be over!""</br></br>So you can see why, to us Aussies, your two-year process, from candidate announcements to Inauguration Day, might seem a tad excessive. If not downright, well, absurd.</br></br>This past summer in Iowa, I had the chance to size up most of the current crop of U.S. presidential candidates, and I had to wonder how on Earth you're going to choose from this most diverse field ever of would-be presidents. Gadding about the Hawkeye State, I saw Rudy Giuliani and John McCain working the crowd with one-liners, Bill Richardson cornering people in dark alleys at the Iowa State Fairgrounds, and Sens. Chris Dodd and Joe Biden explaining how the six or seven candidates ahead of them in the polls were going to crash and burn just like Howard Dean in 2004."
uid-4,The Biggest Boom Ever,"We are about to rewrite history. Unless a recession begins in the next few days, this boom will soon become the longest in the American experience. In February, it will have lasted 107 months. The current record is 106 months between February 1961 and December 1969, according to the dating of business cycles by the National Bureau of Economic Research. By and large, Americans are behaving as if recessions are a relic of the past, even though everyone must realize that the boom will end someday--and might end badly.</br></br>As with all records, people will celebrate and assert bragging rights. President Clinton always claims credit and will almost certainly repeat the claims in tomorrow's State of the Union. Alan Greenspan, chairman of the Federal Reserve Board, is idolized for his presumed role. The murkier truth is that the boom's causes remain obscure and, to the extent they can be identified, reflect a protracted and largely nonpolitical process.</br></br>Low inflation has been the critical catalyst. In the past, rising inflation has doomed expansions through higher interest rates, increased labor costs and squeezed profits. Consumer spending, housing construction and business investment all suffered. Yet, inflation now remains tame. By various measures, it's running between 1 percent and slightly more than 2 percent a year. This is lower than in 1990 (between 4 percent and 6 percent by the same measures) and defies the conventional tendency of inflation to worsen as the economy ""heats up."" * The Fed: Paul Volcker, chairman of the Fed between 1979 and 1987, crushed inflationary expectations. In the 1960s and 1970s, these had become ingrained. Companies raised prices because they expected customers would pay. Workers expected pay raises to compensate for higher prices--and then some. The Fed blessed the process by creating more money. Its permissive policies rested on the prevailing--but faulty--theory that a bit of inflation aided economic growth. By 1980 inflation had reached double digits. Volcker tightened money, increased interest rates and caused a savage recession. In 1982 unemployment neared 11 percent. Though brutal, the downturn stifled wage and price increases. By 1983 inflation was 4 percent. President Reagan sanctioned Volcker's policy by muting criticism. Since then, Greenspan's Fed has pursued ""price stability"" and has raised interest rates (as in 1994) to prevent inflation's upward creep. Presidents Bush and Clinton have emulated Reagan's self- restraint.</br></br>* Better Management: Through the 1970s, corporate managers were rarely fired. Their job tenure rivaled university professors'. In the 1980s, things changed. Managers became vulnerable to job loss for many reasons: the recession; foreign competition; deregulation in the airline, trucking and communications industries; ""hostile"" corporate takeovers; the growth of new discounters (Wal-Mart, Home Depot). Self- preservation made managers more ruthless. They cut costs to raise profits. Old plants were shut. Layoffs and ""downsizings"" became common. Again, the immediate consequences were often cruel and (as with Volcker's recession) widely deplored. But the lasting effect was less inflationary behavior.</br></br>* New Technology: As everyone knows, business investment in computers and communications has exploded. The presumption is that these investments enable companies to do things faster and cheaper-- they raise ""productivity."" Firms can minimize unneeded inventories or speed the processing of customer orders. Higher productivity can be magical. If a company improves productivity 3 percent, it can raise wages 3 percent without increasing prices or sacrificing profits. And productivity has improved. In recent years, it's approached 3 percent a year, up from 1.6 percent in the 1980s."
uid-5,Economic Aide Sees Uptrend,"Sedate and scholarly Dr. Arthur Burns, the ex-Columbia professor, now chief of Presi dent Eisenhower�۪s Council of Economic A d -j visers, went to great pains in explaining to Senators why he had to testify about business recession in secret.</br></br>Dr- Burns, appearing before _ the Joint Committee on the = Economic Report, explained | = that he had been searching his E soul as to whether to testify at'Si all. The way he looked at it. he had a confidential relationship with the President. However, he had given the matter deep thought. Since Cabinet officers are expected to testify, Burns decided he, too. had an obliga tion to appear before Congress if requested. However, he had to insist that no transcript be taken of his remarks of native troops. Radford proposes sending a top United States military man, with experience in either Greece or Korea, to train Indo-Chinese natives.</br></br>This would save French lives, and, he believes, would result in some real resistance against the Chinese-equipped Communists who' since the end of the Korean war have received trainload after trainload of munitions, obviously diverted from the Korean front.</br></br>Sen. Paul Douglas (D-I1L), an ex-professor of economics at the University of Chicago, promptly challenged him. Burns then went into a lengthy explanation, pointing out that in speaking off-the-cuff, he was apt to oversimplify a complex situation or to state an idea more positively than it ought to be expressed. Therefore, he preferred to keep his remarkg informal. If a transcript were made, he said, it would make his testimony appear more formal than it actually would be.</br></br>There was also the possibility, he continued, that he might say something that would appear to be in contradiction of . the President�۪s Economic Report. He hastened to assure that he didn�۪t mean he disagreed with the President�۪s report in any detail. But in the course of speaking, he said, some statement of his might come out on the record that would appear to contradict the President. If that happened, lie added solemnly, and his remark were made permanent in transcript form, he would feel constrained to resign, within the hour.	,"
uid-6,Manager's Journal: Sniffing Out Drug Abusers Is No Quick Fix,"The statistics on the enormous costs of employee drug abuse are well known (at least $70 billion per year, according to December 1985 testimony before the House Labor Subcommittee on Health and Safety). Management is under pressure to reduce productivity losses, turnover, insurance costs and the risk of lawsuits for personal and property damage caused by drug-impaired workers. Management also is under sales pressure from a growing cadre of laboratories, test-kit manufacturers and consultants who extol the virtues of testing. A common argument is the following: ""Your competitors are starting to require drug tests. If you don't, their work force will be clean and you will end up with all the junkies.""</br></br>Many companies that have implemented widespread drug-testing programs, however, have learned that there is a downside to testing. They have experienced the protests of employees and civil libertarians and have watched the proliferation of lawsuits alleging invasion of privacy, defamation and other legal theories. A Texas railroad employee was awarded $200,000 in damages when his employer misreported the results of a drug test. Numerous other cases are pending.</br></br>Is there a middle ground? Can safety and efficiency be protected without invading the privacy of applicants and employees?</br></br>A growing number of companies have concluded that drug testing should be the least important part of a comprehensive drug-abuse program. The starting point is a drug-awareness program to educate managers, supervisors and employees about the dangers and signs of drug abuse. The second part of the program is an effective employee-assistance program (EAP). Rehabilitation is preferable to punishment or dismissal (at least for initial or nonserious offenses) because it encourages employees to seek help voluntarily, improves labor relations and is cost-effective by restoring valuable employees to productive status. More than one company that heedlessly adopted a ""screen and fire"" policy on drugs had second thoughts after discovering traces of drugs in some of their most productive employees.</br></br>There may be a place for drug testing in a company's drug-abuse program, but there are limits to the effectiveness of testing. To begin with, the accuracy of some drug tests varies widely, and the test results are often unacceptable even when performed by professional laboratories. Last year the Centers for Disease Control published the results of a 10-year study of laboratory testing for amphetamines, barbiturates, cocaine, codeine, methadone and morphine. Virtually all of the laboratories in the study had unacceptably high error rates."
uid-7,"Stock Market Quarterly Review --- Led by U.S. Tribulations, Third Quarter Held More Pain for World Markets --- European Shares Tumbled, Japan Gave Up Some Gains And Emerging Stocks Varied","Global markets ended the third quarter much the same way they began: marked by confusion and volatility that left investors searching for a bottom.</br></br>As ever, the U.S. was on the minds of traders around the world, as global investors followed the stream of accounting restatements, Wall Street gyrations and geopolitical maneuverings that shaped market action abroad.</br></br>Yet even by post-bubble standards, the period stood out for its painful mood swings. It began with near panic about the state of corporate governance and the quality of U.S. earnings. These concerns pounded stock prices globally, climaxing with new lows for the bear market near the end of July. A sharp rally followed and many investors predicted that the long-awaited bottom had at last arrived.</br></br>Then last month fresh evidence that a world-wide recession could be looming drove many foreign markets back through their July lows. Despite a dose of encouraging U.S. economic news last week, investor spirits remained glum.</br></br>""There was a capitulation of hope, really,"" said Andrew Parry, chief investment officer for Northern Trust Global Investment (Europe) Ltd. ""The world economic outlook is a lot more hostile and less easy to rebuild than people first realized, and the third quarter was when markets caught up with this reality."""
uid-8,DIGEST,"Consumer borrowing surged in July, mainly reflecting heavy credit- card use, which posted its sharpest increase in two years. Consumers' credit outstanding, excluding mortgage debt, advanced at a 7.9 percent annual rate in July to a seasonally adjusted $1.354 trillion, the Federal Reserve said. All told, consumers borrowed $8.8 billion more in July than during the month before, greater than the $6.3 billion gain many analysts' had expected.</br></br>Lorcin Engineering, a California-based manufacturer of inexpensive handguns, shut its doors last month, according to people in the gun industry. Lorcin was one of the leading producers of ""Saturday night specials,"" and its guns were among those most frequently traced to crimes. Lorcin's operations were highly profitable, but the company's two business partners recently had a falling-out, industry officials said. Lorcin officials could not be reached or did not respond to requests for comment.</br></br>American Airlines had the most passenger complaints of any major U.S. airline in July, while America West Airlines ranked last in on- time performance, the government said. American placed first for the second month in a row in complaints, with more than five filed for every 100,000 passengers in July, the Department of Transportation said. About 60 percent of America West's flights were on time, ranking it last among the 10 largest carriers. Southwest Airlines performed best in both areas for the second month in a</br></br>The American Medical Association wants a federal judge to impose an additional condition on Aetna's $1 billion acquisition of Prudential HealthCare to ensure competition in Dallas and Houston. The AMA said it wants the court for five years to keep Aetna from requiring doctors in the two cities who want to join its network to accept customers from all health plans offered by the company.</br></br>Wholesaler inventories rose in July by 0.9 percent, their fastest pace in 10 months, led by increases in stockpiles of lumber, electrical equipment and furniture, the Commerce Department reported. Wholesaler sales fell 0.2 percent, their first decline since January."
uid-9,September's Unemployment Fell to 3.9% --- Rate Repeats 30-Year Low: Analysts See Economy Headed to Soft Landing,"WASHINGTON -- The unexpected decline in September's unemployment rate doesn't mean the economy has blown off its course toward a soft landing.</br></br>The 0.2 percentage point decline reported by the Labor Department brought the jobless rate back down to 3.9% last month, matching a 30-year-low first reached in April. The jobless rate for African Americans fell one percentage point to a record low of 7%.</br></br>""The numbers tell me that we haven't landed yet and that it's somewhere off in the future, but that we're still on track,"" said Mark Vitner, an economist with the First Union Bank Corp. in Charlotte, N.C. Mr. Vitner, like many economists, expects third-quarter economic growth to slow to about 3.5% before speeding up to 4.1% in the final quarter. That's slightly higher than the 3% and 3.6% consensus forecasts from Blue Chip Economic Indicators.</br></br>Still, the overall drop in the jobless rate set off alarms at the Federal Reserve, which remains worried that desperate employers will boost wages and benefits to attract or retain workers, triggering inflation. The Fed has raised interest rates six times since June 1999 to slow the economy, though it has kept rates steady at its past three meetings.</br></br>Many analysts said that before raising rates again this year, the central bank would have to see a similar decline in next month's jobs data, alongside a clearer indication that labor costs were rising."
uid-10,Clinton Plan Gains Greenspan Praise: Panetta Indicates Bargaining Possible,"-----------------------;---------------------------------------------------------------------------------------------immr</br></br>Ab traveling master of ceremonies and salcB manager for his economic package, President Clinton holds the floor in a school "
uid-11,America Online denies talk of takeover as stock soars,"The price of America Online Inc.'s stock surged again yesterday, but the company denied reports that the company might be a takeover target.</br></br>""We are troubled by the continued speculation about America Online being acquired, because we have already said that it is without substance,"" the company's president and chief executive, Stephen M. Case, said in a statement after the stock market closed.</br></br>America Online's stock rose $8.75 yesterday, closing at $91.50 in trading on the Nasdaq stock market.</br></br>At the end of the year, America Online's stock was trading in the low 50s. But since the end of January, its stock has soared 51 percent.</br></br>""While the company has had informal expressions of interest in the past, we have not received any acquisition offers, and we are not conducting any discussions about being acquired,"" Case said."
uid-12,David Kennedy Prescribes 'Very Tight' Budget,"David M. Kennedy, the next Secretary of the U.S. Treasury, yesterday prescribed a ���very tight"" Federal budget as the cure for inflation���a remedy that he concedes will produce ���somewhat higher"" unemployment in the Nation.</br></br>Kennedy, who will step down as board chairman Chicago's Continental Illinois National Bank and Trust Co. to join President-elect Nixon�۪s Cabinet, appeared before the Senate Finance Committee</br></br>Inflation, he said, is the central problem of the economy and ���I think it's very important that we have a very tight budget on the expenditure side.�۝ ���The effort would be to take the inflationary steam out of the economy with a minimum of increase in unemployment,""</br></br>Kennedy said. But, yes, he added, unemployment would ""surely be somewhat higher than the present rate.""</br></br>How much higher is an impossible question at this point, the Secretary-designate said. ""I don't like to get into percentages because you�۪re dealing with human beings,�۝ he said."
uid-13,President Blames Senate Democrats for Recession: Citing Resistance to ...,"NEW YORK, Nov. 12���Presi-de'nt Bush, on the political defensive as! he begins his reelection drive, today put the blame for the recession on Senate Democrats and offered a stew of remedies that mixed everything from tort reform to a plia to credit card firms to drop thtir interest rates.</br></br>fn the third of a series of Bush-Qqayle fund-raising events. Bush portrayed himself as having a full program to deal with the nation's ills anti said the Democrats have resisted that program at every turn.</br></br>In a broadside at Congress, Bush said the American people ""have seen Congress up close and they�۪ve seen their inability to move when Americans demand action.�۝ he accused Congress of an ���endless appetite for sideshows that have really kind of embarrassed our country"" and of ���overindulgence in pehts and privileges.�۝ Pounding the leijtem, he insisted, ���I�۪m not going to; be the javelin-catcher for the liberals in Congress anymore.�۝</br></br>On the economy, Bush said what the nation needs is ""confidence"" and he offered one suggestion that was new for him. ���I would like to see those credit card rates go down,"" he said, adding he had discussed the idea with business executives. He called again for his capital gains tax cut and blamed Senate Majority Leader George J. Mitchell (D-Maine) for stopping it and thus causing the recession.</br></br>Noting there were enough votes to pass it in 1989, Bush said, ""It took a last-minute political maneuver by Senator Mitchell to block the package.�۝ Mitchell, he said, ""got that political victory and eight months later our economy slipped into a recession."""
uid-14,"One Year Later: Despite Dire Forecasts, The 1986 Tax Revision Inflicts Little Damage --- Capital Spending Holds Up, As Do Charitable Gifts; But Tax Shelters Dwindle --- Some Benefits Still to Come","WASHINGTON -- General Motors Corp. Chairman Roger Smith, who was criticized last year by fellow industrialists for enthusiastically backing tax overhaul, now feels vindicated. ""All the bad things that people predicted would happen, didn't happen,"" he says.</br></br>""I can't really disagree with that,"" admits Charls Walker, a heavy-industry lobbyist who a year ago predicted that the law, which slashed tax rates and trimmed deductions and credits, might cause a recession. ""I thought it would have had a bigger impact by now.""</br></br>Today, exactly one year after President Reagan signed the Tax Reform Act of 1986, the law still sparks controversy, however. Some critics of the legislation are blaming it for the recent stock-market plunge, which could stall economic growth. Kenneth Hagerty, a lobbyist for the venture-capital industry, has already started making rounds on Capitol Hill, arguing that the elimination of the tax break for long-term capital gains contributed to the crash.</br></br>But it now seems clear that the dire economic consequences of the tax overhaul were greatly exaggerated. The economy's surprising strength over the past year suggests that recent problems have little to do with that sweeping legislation. ""There will be people who say tax reform caused the market drop,"" says Joseph Minarik, an economist at the Urban Institute, ""but that's ridiculous.""</br></br>Indeed, whatever the ultimate effects of the market's plunge, it will probably serve to reinforce the basic lesson of the past 12 months: that the economic impact of even radical tax changes can easily be overwhelmed by other events."
